iter	Passed	Remaining
0	3	3309
1	6	3030
2	7	2400
3	10	2551
4	12	2499
5	15	2540
6	18	2570
7	20	2560
8	23	2565
9	26	2623
10	29	2637
11	31	2620
12	34	2623
13	37	2623
14	39	2605
15	42	2610
16	44	2592
17	47	2603
18	50	2613
19	53	2613
20	55	2601
21	58	2597
22	60	2589
23	63	2585
24	66	2584
25	68	2574
26	71	2571
27	73	2553
28	76	2559
29	79	2563
30	82	2575
31	84	2569
32	87	2562
33	90	2561
34	92	2555
35	95	2555
36	98	2565
37	101	2564
38	104	2581
39	107	2572
40	109	2568
41	112	2554
42	114	2553
43	117	2544
44	119	2539
45	122	2536
46	125	2540
47	127	2536
48	130	2534
49	133	2534
50	135	2530
51	139	2536
52	141	2533
53	144	2534
54	147	2528
55	150	2533
56	153	2534
57	155	2526
58	157	2519
59	160	2512
60	162	2506
61	166	2513
62	168	2504
63	170	2499
64	173	2494
65	175	2477
66	177	2477
67	180	2479
68	183	2477
69	186	2474
70	188	2470
71	191	2468
72	194	2464
73	196	2464
74	199	2463
75	202	2460
76	205	2457
77	207	2455
78	210	2451
79	213	2449
80	216	2451
81	218	2444
82	220	2438
83	223	2437
84	225	2431
85	228	2423
86	230	2420
87	233	2417
88	235	2412
89	238	2409
90	240	2404
91	243	2400
92	245	2397
93	246	2378
94	249	2373
95	251	2368
96	253	2364
97	256	2361
98	259	2358
99	261	2352
100	264	2350
101	266	2344
102	268	2341
103	271	2338
104	274	2335
105	276	2334
106	279	2333
107	282	2330
108	284	2326
109	287	2323
110	289	2320
111	292	2316
112	294	2314
113	297	2313
114	300	2310
115	302	2306
116	305	2303
117	307	2298
118	310	2298
119	312	2295
120	315	2293
121	318	2291
122	320	2286
123	323	2285
124	326	2282
125	328	2280
126	331	2279
127	334	2275
128	336	2274
129	339	2274
130	342	2272
131	345	2270
132	347	2266
133	350	2262
134	352	2257
135	354	2254
136	357	2251
137	359	2247
138	362	2244
139	365	2242
140	367	2239
141	370	2236
142	372	2232
143	375	2229
144	377	2226
145	380	2224
146	382	2221
147	385	2217
148	387	2213
149	389	2209
150	392	2205
151	394	2201
152	397	2199
153	399	2196
154	402	2195
155	405	2192
156	407	2189
157	410	2188
158	413	2186
159	415	2183
160	418	2181
161	421	2179
162	423	2175
163	426	2172
164	428	2169
165	431	2167
166	433	2163
167	436	2159
168	438	2156
169	440	2152
170	443	2149
171	446	2147
172	448	2143
173	450	2139
174	453	2137
175	456	2134
176	458	2130
177	460	2127
178	462	2123
179	465	2119
180	467	2115
181	470	2112
