,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,6 likes,1 image,Giant advanced 0,950,Well used,Meetup,2 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Giant advanced 0, full carbon frame, Tiagra groupset, fulcrum wheelset.",N,NA,NA,Y,Bishan - Ang Mo Kio Park,rjcool,Joined 3 years ago,Very Responsive,Verified,1,0,1,4.8,23,https://www.carousell.sg/p/giant-advanced-0-1240652732/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=sOeyzyjXT0UVCDvc&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1210
1,17 likes,4 images,Specialized Allez Sprint Disc 54,899.95,Well used,Meetup,6 days ago,Road Bikes,Posted,Has minor flaws or defects.,"*FRAMESET ONLY*
this is a local set from specialized binjai.
no dents.
hairline scratches here and there.
paint bubbling near the dropout and bb area. 
a little bit of sanding and clear coat will fix this.

what is included:
seatpost
sear collar
fork
headset
bottle cages x2 (specialized)
bb token (2months old)
steerer tube still long  can put 25mm spacer.

*FIXED PRICE, No nego!
*NO TRADE
*LOW BALLERS STAY AWAY!!!

lowest priced allez sprint disc here in carousell! the 2022 version is almost 3x the price.

can also sell the whole bike for 2.3k
105 groupset except RD (ULTEGRA)
54/40T Stone Chainring
specialized flared handlebar 38-42 width
Avian 45mm wheelset
gp5000 25c, ridenow tubes
Look Keo Carbon cleats

*no saddle*

bike is recently service last may23.
new chain as well (dura ace)

tags: colnago, cervelo, bianchi, pinarello,  giant, merida, road bike, ultegra, bike, bicycle, road, dura ace, tarmac",N,NA,NA,Y,Pasir Ris MRT Station (EW1),kserr17,Joined 8 years ago,Very Responsive,Verified,1,0,1,5.0,77,https://www.carousell.sg/p/specialized-allez-sprint-disc-54-1242426939/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DaFFM4SR0gtRvkSV&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=422
2,6 likes,1 image,24 Inch 6 Speed Bicycle,130,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Seldom use 
View and Self Collection available at Sengkang 
Address: 291B Compassvale Street",N,NA,NA,Y,291B Compassvale Street,saintsburychin,Joined 6 years ago,Very Responsive,Verified,1,0,1,5.0,1,https://www.carousell.sg/p/24-inch-6-speed-bicycle-1241144556/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TsI9VzbOxSlBdwhI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1050
3,9 likes,2 images,BTWIN Riverside 100,160,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","M size, good condition, come with phone holder, Water holder, seat cover.",N,NA,NA,Y,Blk 63 Kallang Bahru,jack03197,Joined 1 year ago,Very Responsive,Verified,0,0,1,5.0,2,https://www.carousell.sg/p/btwin-riverside-100-1241512310/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gnaFD4SFE9lc7Zk8&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=882
4,7 likes,3 images,Road Bike,250,Lightly used,Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Triban 100 flat bar cycle touring road bike 
Size L
",N,NA,NA,Y,Playground,sgoyat,Joined 6 years ago,Very Responsive,Verified,1,0,1,5.0,5,https://www.carousell.sg/p/road-bike-1237914698/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=wK8sHFOOSA5bCC8P&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2171
5,9 likes,5 images,"Trek 6500, 26inch",200,Well used,Meetup,3 months ago,Road Bikes,Posted,Has minor flaws or defects.,Good working condition,N,NA,NA,Y,Blk 88 Telok Blangah Heights,cstio2016,Joined 2 years ago,Very Responsive,Verified,1,1,1,5.0,20,https://www.carousell.sg/p/trek-6500-26inch-1226228135/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=YxyJ5OTKT55iJa58&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2507
6,21 likes,7 images,Cervelo S2,"1,500",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Good condition Cervelo S2
Size 54
Shimano Ultegra groupset
Fulcrum red wind wheels
Fizik saddle

",N,NA,NA,Y,Lorong Chuan MRT Station (CC14),riding.shotgun.sg,Joined 7 years ago,Mostly Responsive,Verified,1,1,1,4.9,24,https://www.carousell.sg/p/cervelo-s2-1242215624/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=0QG0HuqBxfGXyj0V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=515
7,4 likes,2 images,Merida bike - retails over sg300,150,Lightly used,Meetup,3 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Merida kids bike, barely used.  Feel free to inspect ",N,NA,NA,Y,Sophia Road,chukwa198081814,Joined 1 month ago,Very Responsive,Verified,1,0,1,NA,NA,https://www.carousell.sg/p/merida-bike-retails-over-sg300-1236889539/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Kc5ysDvepXtYCCif&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1908
8,47 likes,2 images,Java mini velo,400,Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","java mini velo for sale..

clearing space",N,NA,NA,Y,The Yellow Cage821313 punggol,tbrn_designs,Joined 9 years ago,Very Responsive,Verified,1,1,1,5.0,60,https://www.carousell.sg/p/java-mini-velo-1217249230/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gHzS4cEX41cYVJNL&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1980
9,14 likes,6 images,Btwin Triban RC120 RC100 Upgrade Road Bike Size M,399,Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Upgraded parts:
- Shimano crank
- Fulcrum wheels
- Retrospect shifters
- Retrospect front and rear derailleurs

Easily 30km/h on PCN.
All parts in excellent condition with lotsa life remaining. 
Rear brake pads may need change. 
Kept indoors always and washed frequently hence very minimal rust on usual parts.

Selling because I've upgraded.",N,NA,NA,Y,Marine Drive Blk 72,leg0leg0,Joined 8 years ago,Very Responsive,Verified,1,1,1,5.0,123,https://www.carousell.sg/p/btwin-triban-rc120-rc100-upgrade-road-bike-size-m-1240141890/?t-id=q-pKWN85jc_1689413098537&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=vq2gb6z6HhwNnN1u&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1419
