,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
0,19 likes,7 images,Orbea Orca Gold road bike.,"2,250 2,500",Lightly used,Meetup,Yesterday,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Orbea Orca (Gold) carbon frame. Size XS, 48cm. 
Campagnolo Chorus 11 group set
Specialized power saddle
Look pedals

Very good condition. ",N,NA,NA,Y,Bedok,1.2920775,103.8498142,carnado,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,186,https://www.carousell.sg/p/orbea-orca-gold-road-bike-1233074058/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=185
1,5 likes,3 images,Orange Bicycle with Bell,30,Lightly used,Meetup,21 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",Orange road bike for sale with compartment on the back for additional storage. ,N,NA,NA,Y,Rosewood Suites,1.42927426,103.78628906,xavi_benjamin,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/orange-bicycle-with-bell-1244359666/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=101
2,2 likes,3 images,Kids Bicycle,60,Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Kids bicycle taken from Decathlon in 2022 for 130 dollar. I have the receipt as well. Attached reciept as well. Selling as relocating to India.

I have 2 adult bicycle also to sell for 150 dollars each, let me know if interested ",N,NA,NA,Y,Mariam WayBallota Park,1.3610835,103.96709596,sandipk89,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/kids-bicycle-1243903840/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=335
3,24 likes,8 images,(BRAND NEW IN BOX) Shimano Ultegra R8000 Pedals with FREE Shimano SM-SH11 Cleats (AVAILABLE IN +4mm also),172,Brand new,Mailing · Meetup,3 weeks ago,Road Bikes,Bumped,Never used. May come with original packaging or tag.,"🔥BRAND NEW IN BOX🔥
Free delivery to doorstep!!!

⭐️CHEAPEST IN THE MARKET ⭐️
Shimano Ultegra PD-R8000 Pedals with Shimano SM-SH11 (Yellow) Cleats in original packaging and box. 

The Shimano Ultegra PD-R8000 pedal delivers pro level performance for the cycling enthusiast. The extra-wide carbon platform provides more efficient power transfer, optimally converting your efforts to forward momentum. A wide bearing stance provides long lasting performance, and a buttery smooth action. At only 248g, the R8000 SPD SL pedals will not weigh down your rig.

FEATURES
Lightweight carbon-composite body
Extra-wide platform for a more efficient transfer of power
Durable stainless steel body plate reduces flex and pedal body wear
Wide bearing placement for stable, uniform load distribution
Adjustable entry and release tension settings
The SHIMANO style, quality and durability cyclists value
4 mm longer axle available

Description
product description:
Brand: Shimano
Series: Ultegra
Model: PD-R8000
Pedal system: SPD-SL
Splint: SM-SH11
Material: carbon composite
Weight: 248g (=10%)
Colour: Black
Contents: 1 pair 2 pieces / left and right set of bicycles
Model: PD-R8000 with additional 4mm shaft

Price:
1 for $174
2 for $339

Information about seller:
- Official Authorised Carousell Business Corporate Merchant 
- Trusted retailer with over 700 reviews on Carousell 
- 8 years of experience in the bicycle industry, operating on multiple platforms 
- Supports National Athletes and works with local bike shops to make premium products affordable 
",Y,Standard delivery Free,3 - 4 working days,Y,Bishan MRT Interchange (NS17/CC15),1.35108754,103.84851887,Bikes.galore,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,862,https://www.carousell.sg/p/brand-new-in-box-shimano-ultegra-r8000-pedals-with-free-shimano-sm-sh11-cleats-available-in-4mm-also-1177264726/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2086
4,4 likes,2 images,Adult Bicycle,188,Like new,Meetup,18 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Brand new condition
Rarely used 
Upgraded wide saddle
Comes with bike bell 
2 bicycles available, one comes with front basket ",N,NA,NA,Y,Hougang 1Self-collect from near Hougang 1 mall (2 minutes walk). Actual location will be shared upon purchase. ,1.3753047,103.87963772,sweetiepanda,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/adult-bicycle-1244398544/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=Rcv-b6pDaCver96S&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=76
5,64 likes,5 images,SL5 S-Works Di2 Size 54 ,"4,800",Like new,Meetup,4 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Well maintained. Specialized S-Works Mirror Power Saddle . Reynolds Wheels . Pedals . 
WA : 8940-8944",N,NA,NA,Y,Chestnut Avenue,1.370321,103.774767,ellima,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,5,https://www.carousell.sg/p/sl5-s-works-di2-size-54-1180214312/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2200
6,4 likes,4 images,Lapierre Audacio400,400,Well used,Meetup,2 months ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling for a friend as unable to store in flat anymore.
7 y/o bike
 Deal at Serangoon. Pics as posted.",N,NA,NA,Y,nex,1.35071656,103.87275269,myonegirl,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/lapierre-audacio400-1231282043/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1017
7,Like,2 images,Kids Bicycle,80,Brand new,Meetup,3 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"pic 1 : 80
pic 2 : 50",N,NA,NA,Y,Bus Stop 47601 (Blk 793)Admiralty MRT Station (NS10),1.44207057,103.80326915,slime_peachy_peach,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,4.9,64,https://www.carousell.sg/p/kids-bicycle-1243882884/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fjjuUJ3Ytehubd9V&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=343
8,1 like,2 images,Polygon C4,700,Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2nd hand owner. Bought to try out road bike during my NS period. Now ORD already seldom use, hence selling. Bike is in the same condition as i got it from the first seller. Changed the tyres,seat and grip tape. Roughly used for about a year +

size 46
Tiagra 10speed, internal cabling.",N,NA,NA,Y,Sembawang MRT Station (NS11),1.44894908,103.81990815,magnumopus99,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,65,https://www.carousell.sg/p/polygon-c4-1244262508/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AKenagH3WyunJ-Yr&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=162
9,5 likes,1 image,"Fat bike Shimano Gear 21 Speed 26” 24” Foreknow snow bike Bicycle Mountain Bike Full suspension 29 26"" 16"" inch delivery kid adult seat mesh rack thermal children food Put WHATSAPP 89501850",300,Brand new,Mailing,4 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 





$300 in box, toolkit provided
+$50 assembly



-Full suspension
-Wheel diameter: 26 X 4.0
-Speed: 21 Speed Shimano Gear
-Frame: High Carbon Steel (Strong and long-lasting steel)
-Rim: Alluminum Alloy
-Tire: Pneumatic Tire - Absorbs the unevenness of terrain for a smoother ride.
-Dual Shock Absorber (Front and Rear)
-Dual Crown Fork
-Dual mechanical disk brakesTire - Absorbs the unevenness of terrain for a smoother ride.
-Dual Shock Absorber (Front and Rear)
-Dual Crown D26
-Dual mechanical disk brakes
 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,,,lin-shop,Joined 2 years ago,Not Responsive,Verified,NA,NA,NA,4.6,9,https://www.carousell.sg/p/fat-bike-shimano-gear-21-speed-26”-24”-foreknow-snow-bike-bicycle-mountain-bike-full-suspension-29-26-16-inch-delivery-kid-adult-seat-mesh-rack-thermal-children-food-put-whatsapp-89501850-1238820160/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=7BjN4cUt6cUbP5J4&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2376
