no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url,deal_location_lat,deal_location_lon,posts,current_listing_price,last_listing_price,contains_brand,brands,len_posts,post_word_count,emojis,num_emojis,lemma_posts
4,6,"Specialized Allez Sport - Year 2020, Size 52","2,200",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","> 2020 SPECIALIZED ALLEZ SPORTS
> NO SCRATCHES, SPARE BIKES
> CONDITION 9.5/10
> SIZE 52
> WEIGHT: 8KG

SPECS :
> Full 105 R7020 SHIMANO GROUPSET
> TEKTRO RIM BRAKES
> CARBON AERO HANDLEBAR
> CARBON (55MM) WHEELS
> SPECIALISED POWER SADDLE
> CARBON SEATPOST & FORK
> SHIMANO 105 CLIPLESS PEDALS
> NEW BLACK BARTAPE 
> MAGNET BOTTLE CAGE

> EXCELLENT FOR DAY-TO- DAY AND WEEKEND RACES
> REASON FOR SELLING: MOVING HOUSE SPACE CONSTRAINTS",N,,,Y,Bakau LRT Station (SE3),tcw.jason,Joined 6 years ago,Mostly Responsive,Verified,1.0,0.0,1.0,5.0,17,https://www.carousell.sg/p/specialized-allez-sport-year-2020-size-52-1243118563/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=16,,,"Specialized Allez Sport - Year 2020, Size 52 > 2020 SPECIALIZED ALLEZ SPORTS > NO SCRATCHES, SPARE BIKES > CONDITION 9.5/10 > SIZE 52 > WEIGHT: 8KG SPECS : > Full 105 R7020 SHIMANO GROUPSET > TEKTRO RIM BRAKES > CARBON AERO HANDLEBAR > CARBON (55MM) WHEELS > SPECIALISED POWER SADDLE > CARBON SEATPOST & FORK > SHIMANO 105 CLIPLESS PEDALS > NEW BLACK BARTAPE  > MAGNET BOTTLE CAGE > EXCELLENT FOR DAY-TO- DAY AND WEEKEND RACES > REASON FOR SELLING: MOVING HOUSE SPACE CONSTRAINTS",2200.0,,True,"Specialized, SPECIALIZED, SPECIALISED, Allez, ALLEZ",481,85,,0,specialized allez sport year 2020 size 52 2020 specialized allez sports scratches spare bikes condition 9.5/10 size 52 weight 8kg specs 105 r7020 shimano groupset tektro rim brakes carbon aero handlebar carbon 55mm wheels specialised power saddle carbon seatpost fork shimano 105 clipless pedals new black bartape   magnet bottle cage excellent day to- day weekend race reason selling move house space constraint
14,3,Giant OCR,500,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"M size
claris Shifters, FD, RD
Mavic Cosmic wheelset",N,,,Y,Bendemeer Light,jktay,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,7,https://www.carousell.sg/p/giant-ocr-1242058721/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=wrjDhRbQu5l5UafY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=560,,,"Giant OCR M size claris Shifters, FD, RD Mavic Cosmic wheelset",500.0,,True,Giant,62,11,,0,giant ocr m size claris shifters fd rd mavic cosmic wheelset
9,7,Polygon Hybrid Bicycle,500,Lightly used,Mailing,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Lightly used bike
Was often put at balcony, often cleaned and always put in shady area
Rode less than 15 times
Bought for $1200, accessories also cost $50 plus extra
Now selling at a low cost to make space for my balcony
No air on wheels, need to pump
Brake fluids recently bleed
Comes with additional pouches as shown in picture 
Price not included bicycle stand
Bicycle stand already purchase by other buyer 
Welcome to have a look at my place at Sengkang 797460",Y,Standard delivery S$30,3 - 4 working days,N,,starfish100,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,227,https://www.carousell.sg/p/polygon-hybrid-bicycle-1241819646/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=TIymlxr_zUgvZFmg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=712,,,"Polygon Hybrid Bicycle Lightly used bike Was often put at balcony, often cleaned and always put in shady area Rode less than 15 times Bought for $1200, accessories also cost $50 plus extra Now selling at a low cost to make space for my balcony No air on wheels, need to pump Brake fluids recently bleed Comes with additional pouches as shown in picture  Price not included bicycle stand Bicycle stand already purchase by other buyer  Welcome to have a look at my place at Sengkang 797460",500.0,,True,look,487,87,,0,polygon hybrid bicycle lightly bike balcony clean shady area rode 15 time buy 1200 accessory cost 50 plus extra sell low cost space balcony air wheel need pump brake fluid recently bleed come additional pouch show picture   price include bicycle stand bicycle stand purchase buyer   welcome look place sengkang 797460
28,5,"Cervelo P5X tt bike, road bike triathlon bike with power meter","16,000",Like new,Meetup,23 hours ago,Road Bikes,Bumped,Used once or twice. As good as new.,"This week special @ $16000
Usual price @$19500
Limited Edition Cervelo P5X (BIKE buy from local not like other Ads need import) 
Cervelo is no longer producing this super bike. 
Price is for Complete Bike . 
Size M (SRAM-etap). (Red etap)
Quarq Dzero Power meter. 
All the extras.
What you see is what you get . 
One careful owner and bought from / serviced at Bike & Bytes. 
Full bike with all the extras. 
Full service just done at BikenBites . Brand New Conti tyres and brand new Enve wheel. 
Use only 3 times for this bike.
Serious enquiries only. 
No time wasters (make viewing and never come) will be ignore.
WhatsApp number exchange a must. 
All viewing in the evening.",N,,,Y,SingaporeAdmiralty,sdm.co,Joined 3 years ago,Very Responsive,Verified,1.0,1.0,1.0,4.9,36,https://www.carousell.sg/p/cervelo-p5x-tt-bike-road-bike-triathlon-bike-with-power-meter-1239288700/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=VioJffVBl_pqBZeY&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=453,,,"Cervelo P5X tt bike, road bike triathlon bike with power meter This week special @ $16000 Usual price @$19500 Limited Edition Cervelo P5X (BIKE buy from local not like other Ads need import)  Cervelo is no longer producing this super bike.  Price is for Complete Bike .  Size M (SRAM-etap). (Red etap) Quarq Dzero Power meter.  All the extras. What you see is what you get .  One careful owner and bought from / serviced at Bike & Bytes.  Full bike with all the extras.  Full service just done at BikenBites . Brand New Conti tyres and brand new Enve wheel.  Use only 3 times for this bike. Serious enquiries only.  No time wasters (make viewing and never come) will be ignore. WhatsApp number exchange a must.  All viewing in the evening.",16000.0,,True,"Cervelo, Cervelo, Cervelo",739,132,,0,cervelo p5x tt bike road bike triathlon bike power meter week special 16000 usual price @$19500 limited edition cervelo p5x bike buy local like ads need import   cervelo long produce super bike   price complete bike   size m sram etap red etap quarq dzero power meter   extra   careful owner buy service bike bytes   bike extra   service bikenbites brand new conti tyre brand new enve wheel   use 3 time bike enquiry   time waster viewing come ignore whatsapp number exchange   view evening
1,7,WTS/WTT Scott Speedster 20 (Size 56),"2,000",Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought from KH Cycle! But I prefer mountain bike after few rides. 

I’m looking to sell or Trade with a Full suspension mountain bike. 

Size 56 ( I’m 178cm) Large

_____________________________________________________________________


FRAME

Speedster Disc / 6061 D.Butted Alloy
Endurance geometry / int. cable routing
Syncros fender kit ready
FORK

Speedster HMF Disc
1 1/4”-1 1/2” Eccentric Carbon steerer
REAR DERAILLEUR

Shimano Tiagra RD-4700-GS
20 Speed
FRONT DERAILLEUR

Shimano Tiagra FD-4700
SHIFTERS

Shimano Tiagra ST-4700
Dual control 20 Speed
CRANKSET

FSA CK-4003ST/WT(S10) 50-34
BB-SET

Shimano BB-RS500-PB
CHAIN

KMC X10
CASSETTE

Shimano CS-HG500
10 Speed 11-32 T
BRAKES

Shimano BR-RS305 Black Mech.Disc
ROTOR

Shimano SM-RT64 rotor 160/F and 160/R
HANDLEBAR

Syncros Creston 2.0 Compact
31.8mm
H’STEM

Syncros RR2.5
1 1/4” / four Bolt 31.8mm
SEATPOST

Syncros RR2.5 27.2/350mm
SEAT

Syncros Tofino Regular 2.5
HEADSET

Acros AIF-1113
HUB (FRONT)

Formula Team II CL Disc 28 H
HUB (REAR)

Formula Team II CL Disc 28 H
SPOKES

Black 2mm
RIMS

Syncros Race 24 Disc
28 Front / 28 Rear
FRONT TIRE

Schwalbe Lugano
700x32C
REAR TIRE

Schwalbe Lugano
700x32C
APPROX WEIGHTS IN KG

10.40",N,,,Y,Cashew MRT Station (DT2),rizeal,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,10,https://www.carousell.sg/p/wts-wtt-scott-speedster-20-size-56-1243080734/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=43,,,WTS/WTT Scott Speedster 20 (Size 56) Bought from KH Cycle! But I prefer mountain bike after few rides.  I’m looking to sell or Trade with a Full suspension mountain bike.  Size 56 ( I’m 178cm) Large _____________________________________________________________________ FRAME Speedster Disc / 6061 D.Butted Alloy Endurance geometry / int. cable routing Syncros fender kit ready FORK Speedster HMF Disc 1 1/4”-1 1/2” Eccentric Carbon steerer REAR DERAILLEUR Shimano Tiagra RD-4700-GS 20 Speed FRONT DERAILLEUR Shimano Tiagra FD-4700 SHIFTERS Shimano Tiagra ST-4700 Dual control 20 Speed CRANKSET FSA CK-4003ST/WT(S10) 50-34 BB-SET Shimano BB-RS500-PB CHAIN KMC X10 CASSETTE Shimano CS-HG500 10 Speed 11-32 T BRAKES Shimano BR-RS305 Black Mech.Disc ROTOR Shimano SM-RT64 rotor 160/F and 160/R HANDLEBAR Syncros Creston 2.0 Compact 31.8mm H’STEM Syncros RR2.5 1 1/4” / four Bolt 31.8mm SEATPOST Syncros RR2.5 27.2/350mm SEAT Syncros Tofino Regular 2.5 HEADSET Acros AIF-1113 HUB (FRONT) Formula Team II CL Disc 28 H HUB (REAR) Formula Team II CL Disc 28 H SPOKES Black 2mm RIMS Syncros Race 24 Disc 28 Front / 28 Rear FRONT TIRE Schwalbe Lugano 700x32C REAR TIRE Schwalbe Lugano 700x32C APPROX WEIGHTS IN KG 10.40,2000.0,,True,Scott,1237,186,,0,"wts wtt scott speedster 20 size 56 buy kh cycle prefer mountain bike ride   look sell trade suspension mountain bike   size 56 178 cm large frame speedster disc 6061 d.butted alloy endurance geometry int cable route syncros fender kit ready fork speedster hmf disc 1 1/4”-1 1/2 "" eccentric carbon steerer rear derailleur shimano tiagra rd-4700 gs 20 speed derailleur shimano tiagra fd-4700 shifter shimano tiagra st-4700 dual control 20 speed crankset fsa ck-4003st wt(s10 50 34 bb set shimano bb rs500 pb chain kmc x10 cassette shimano cs hg500 10 speed 11 32 t brake shimano br rs305 black mech disc rotor shimano sm rt64 rotor 160 f 160 r handlebar syncros creston 2.0 compact 31.8 mm h’stem syncros rr2.5 1 1/4 "" bolt 31.8 mm seatpost syncros rr2.5 27.2/350 mm seat syncros tofino regular 2.5 headset acros aif-1113 hub formula team ii cl disc 28 h hub rear formula team ii cl disc 28 h spokes black 2 mm rims syncros race 24 disc 28 28 rear tire schwalbe lugano 700x32c rear tire schwalbe lugano 700x32c approx weights kg 10.40"
3,1,Giant TC ADVANCE 3 DISC,"1,600",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","年初购入，因为要回🇨🇳，忍痛转让
尺寸M，附赠打气筒，前后灯，Giant头盔，水杯架，手机支架",N,,,Y,Prestige heights,zhaoyichen82949,Joined 1 month ago,Not Responsive,Verified,1.0,0.0,1.0,0.0,0,https://www.carousell.sg/p/giant-tc-advance-3-disc-1242119597/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=jqqPo8HDEMnyZD8m&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=524,,,Giant TC ADVANCE 3 DISC 年初购入，因为要回，忍痛转让 尺寸M，附赠打气筒，前后灯，Giant头盔，水杯架，手机支架,1600.0,,True,Giant,71,7,,0,giant tc advance 3 disc 年初购入，因为要回，忍痛转让 尺寸m，附赠打气筒，前后灯，giant头盔，水杯架，手机支架
5,1,Canyon Endurace CF SL 8.0 XS,"3,500",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Selling off Canyon Endurace CF SL 8.0 

Condition: 8.0/10 - light paint chips and scratch on derailleur from a minor fall 

Specs:
Full Ultegra 2x11 drive train
Stock wheelset from DT Swiss
Fizik Aliante:00 carbon saddle 
Does not include pedals

Garmin Edge 530 + 300
Carbon Yeoleo wheelset + $700

RFS: quit cycling and getting a motorcycle. Will throw in saddle bag with all its contents as well. 

Pick up at Pasir Ris Grove, Livia. 

",N,,,Y,Livia,jeremiahheng,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,22,https://www.carousell.sg/p/canyon-endurace-cf-sl-8-0-1243123650/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XqeXk3TZVZ-EbjJg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8,,,"Canyon Endurace CF SL 8.0 XS Selling off Canyon Endurace CF SL 8.0  Condition: 8.0/10 - light paint chips and scratch on derailleur from a minor fall  Specs: Full Ultegra 2x11 drive train Stock wheelset from DT Swiss Fizik Aliante:00 carbon saddle  Does not include pedals Garmin Edge 530 + 300 Carbon Yeoleo wheelset + $700 RFS: quit cycling and getting a motorcycle. Will throw in saddle bag with all its contents as well.  Pick up at Pasir Ris Grove, Livia.  ",3500.0,,True,"Canyon, Canyon",468,81,,0,canyon endurace cf sl 8.0 xs selling canyon endurace cf sl 8.0   condition 8.0/10 light paint chip scratch derailleur minor fall   spec ultegra 2x11 drive train stock wheelset dt swiss fizik aliante:00 carbon saddle   include pedal garmin edge 530 300 carbon yeoleo wheelset 700 rfs quit cycling get motorcycle throw saddle bag content   pick pasir ris grove livia  
14,9,Canyon Ultimate CFR Size S - Titan Silver,"11,000 12,000",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2022 Canyon Ultimate CFR in size S. 

Full servicing done in Oct 2022 by Bicyclewrench (willing to throw in a free full service by the same trusted mechanic to the next owner of this bike).

Colour is like classy, champagne gold.
Ride is comfortable and smooth. Climbs really well.

Protected with RideWrap frame protection from day 1.

Integrated Handlebar - 400mm by 90mm
Full spacers

Groupset: Dura Ace 12 speed Di2 R9270 with power meter
Crank length: 172.5mm
Cranksize: 52/36T
Cassette: 11/30T

Seatpost: Schmolke TLO UD Carbon (0 offset)
Saddle: changed to Power Mirror (carbon rails)
Bartape: changed to ciclovation
Bottom Bracket: changed to BBinfinite

Wheelset: DT Swiss PRC 1100 Dicut Mon Chasseral (24mm depth; DT Swiss 180hub with SINC ceramic bearings)
**Note: last 2 pic are fitted with Princeton wheels (my main set of wheels) and is NOT included in the sale. 

Tyres: Schwalbe Pro One TT (clinchers setup)
Dura ace rotors (160mm front and rear)

Pedals not included.
More pics can be provided upon request.

Lowballers are automatically blocked.
Self collect at Anchorvale lane.

**Note: I have two bikes posted for sale but will only look to sell one of them. If the other bike is sold before this, will retain this bike.

Thanks. 





#Not Canyon Aeroad/ Sworks SL7/Pinarello Dogma",N,,,Y,38 Anchorvale LaneRivercove residences,yao10,Joined 8 years ago,Very Responsive,Verified,1.0,0.0,1.0,4.9,72,https://www.carousell.sg/p/canyon-ultimate-cfr-size-s-titan-silver-1231374309/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=355,,,"Canyon Ultimate CFR Size S - Titan Silver 2022 Canyon Ultimate CFR in size S.  Full servicing done in Oct 2022 by Bicyclewrench (willing to throw in a free full service by the same trusted mechanic to the next owner of this bike). Colour is like classy, champagne gold. Ride is comfortable and smooth. Climbs really well. Protected with RideWrap frame protection from day 1. Integrated Handlebar - 400mm by 90mm Full spacers Groupset: Dura Ace 12 speed Di2 R9270 with power meter Crank length: 172.5mm Cranksize: 52/36T Cassette: 11/30T Seatpost: Schmolke TLO UD Carbon (0 offset) Saddle: changed to Power Mirror (carbon rails) Bartape: changed to ciclovation Bottom Bracket: changed to BBinfinite Wheelset: DT Swiss PRC 1100 Dicut Mon Chasseral (24mm depth; DT Swiss 180hub with SINC ceramic bearings) **Note: last 2 pic are fitted with Princeton wheels (my main set of wheels) and is NOT included in the sale.  Tyres: Schwalbe Pro One TT (clinchers setup) Dura ace rotors (160mm front and rear) Pedals not included. More pics can be provided upon request. Lowballers are automatically blocked. Self collect at Anchorvale lane. **Note: I have two bikes posted for sale but will only look to sell one of them. If the other bike is sold before this, will retain this bike. Thanks.  #Not Canyon Aeroad/ Sworks SL7/Pinarello Dogma",11000.0,12000.0,True,"Canyon, Canyon, Canyon, Pinarello, Dogma, look",1344,220,,0,canyon ultimate cfr size s titan silver 2022 canyon ultimate cfr size s.   servicing oct 2022 bicyclewrench willing throw free service trust mechanic owner bike colour like classy champagne gold ride comfortable smooth climb protect ridewrap frame protection day 1 integrated handlebar 400 mm 90 mm spacer groupset dura ace 12 speed di2 r9270 power meter crank length 172.5 mm cranksize 52/36 t cassette 11/30 t seatpost schmolke tlo ud carbon 0 offset saddle change power mirror carbon rail bartape change ciclovation bracket change bbinfinite wheelset dt swiss prc 1100 dicut mon chasseral 24 mm depth dt swiss 180hub sinc ceramic bearing note 2 pic fit princeton wheel main set wheel include sale   tyre schwalbe pro tt clincher setup dura ace rotor 160 mm rear pedal include pic provide request lowballer automatically block self collect anchorvale lane note bike post sale look sell bike sell retain bike thank   canyon aeroad/ sworks sl7 pinarello dogma
115,4,Authentic Pinarello GAN RS Maglia Nera road bike roadbike bicycle ,"3,100",Lightly used,Meetup,5 days ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","FINAL MARK DOWN

Less than 1000km put into it over the last 2.5 years. Selling due to Low utilisation and moving house

Size 51.5
Authentic!!! 
Full Ultegra 6800 group set
Fulcrum Racing Zero wheelset with ceramic bearings
Condition 9/10

. Price reduced for fast deals. Serious buyers only and pricing is firm. ",N,,,Y,Hougang Parkview,nitsbitsnwits,Joined 9 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,465,https://www.carousell.sg/p/authentic-pinarello-gan-rs-maglia-nera-road-bike-roadbike-bicycle-1102908143/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=i1eymQnXgC4TK2M9&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=343,,,Authentic Pinarello GAN RS Maglia Nera road bike roadbike bicycle  FINAL MARK DOWN Less than 1000km put into it over the last 2.5 years. Selling due to Low utilisation and moving house Size 51.5 Authentic!!!  Full Ultegra 6800 group set Fulcrum Racing Zero wheelset with ceramic bearings Condition 9/10 . Price reduced for fast deals. Serious buyers only and pricing is firm. ,3100.0,,True,Pinarello,379,62,,0,authentic pinarello gan rs maglia nera road bike roadbike bicycle   final mark 1000 km 2.5 year sell low utilisation move house size 51.5 authentic   ultegra 6800 group set fulcrum racing zero wheelset ceramic bearing condition 9/10 price reduce fast deal buyer pricing firm
34,1,Canyon Endurace 2021 CF SL 7 R7000 Carbon Wheelset Full Road Bike,"1,800",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","CANYON ENDURACE CF SL 7 2021 R7000 CARBON WHEELS FULL BIKE

•Canyon Endurace CF SL 7 2021 Full Carbon Frameset UCI Approved
•Shimano R7000 105 Full Groupset 11speed with Ltwoo Ceramic Carbon OSPW
•Carbon Wheelset with Continental GP5000 Tyres
•Canyon Cockpit with New Ciclovation Bartape

Like new condition with zero issues
Light & fast, sexy all-black stealth build

Please contact @83315987 if you are interest~!!
",N,,,Y,Medicus Clinic Jurong West St 42,cl24zy,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,19,https://www.carousell.sg/p/canyon-endurace-2021-cf-sl-7-r7000-carbon-wheelset-full-road-bike-1242977229/?t-id=dif5P0Y2mE_1689399375099&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bzxMEarcJgExmMEC&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=114,,,"Canyon Endurace 2021 CF SL 7 R7000 Carbon Wheelset Full Road Bike CANYON ENDURACE CF SL 7 2021 R7000 CARBON WHEELS FULL BIKE •Canyon Endurace CF SL 7 2021 Full Carbon Frameset UCI Approved •Shimano R7000 105 Full Groupset 11speed with Ltwoo Ceramic Carbon OSPW •Carbon Wheelset with Continental GP5000 Tyres •Canyon Cockpit with New Ciclovation Bartape Like new condition with zero issues Light & fast, sexy all-black stealth build Please contact @83315987 if you are interest~!! ",1800.0,,True,"Canyon, CANYON, Canyon, Canyon",494,77,,0,canyon endurace 2021 cf sl 7 r7000 carbon wheelset road bike canyon endurace cf sl 7 2021 r7000 carbon wheels bike •canyon endurace cf sl 7 2021 carbon frameset uci approved •shimano r7000 105 groupset 11speed ltwoo ceramic carbon ospw •carbon wheelset continental gp5000 tyres •canyon cockpit new ciclovation bartape like new condition zero issue light fast sexy black stealth build contact @83315987 interest~
